INFO  | 17:25:12 76223 [Router] Rebroadcast received message coming from 30
INFO  | 17:25:12 76223 [Router] Packet History - insert: Reusing slot aged 0.148s TRACE MATCHED PACKET
DEBUG | 17:25:12 76223 [Router] Use AES256 key!
DEBUG | 17:25:12 76223 [Router] enqueue for send (id=0xfb07b593 fr=0x6c743130 to=0xffffffff, transport = 1, WantAck=0, HopLim=0 Ch=0xec encrypted len=50 rxtime=1785864312 rxSNR=8.5 rxRSSI=-3
DEBUG | 17:25:12 76223 [Router] txGood=2744,txRelay=1333,rxGood=2691,rxBad=21
DEBUG | 17:25:12 76223 [Router] rx_snr found. hop_limit:0 rx_snr:8.500000
DEBUG | 17:25:12 76223 [Router] rx_snr found in packet. Setting tx delay:2380
DEBUG | 17:25:12 76223 [Router] Delivering rx packet (id=0xfb07b593 fr=0x6c743130 to=0xffffffff, transport = 1, WantAck=0, HopLim=1 Ch=0x0 Portnum=67 rxtime=1785864312 rxSNR=8.5 rxRSSI=-32 h
DEBUG | 17:25:12 76223 [Router] Update DB node 0x6c743130, rx_time=1785864312
INFO  | 17:25:12 76223 [Router] Sort took 0 milliseconds
DEBUG | 17:25:12 76223 [Router] Forwarding to phone (id=0xfb07b593 fr=0x6c743130 to=0xffffffff, transport = 1, WantAck=0, HopLim=1 Ch=0x0 Portnum=67 rxtime=1785864312 rxSNR=8.5 rxRSSI=-32 ho
DEBUG | 17:25:12 76223 [Router] Module 'routing' considered
DEBUG | 17:25:12 76223 [Serial] FromRadio=STATE_SEND_PACKETS
DEBUG | 17:25:12 76223 [Serial] phone downloaded packet (id=0xfb07b593 fr=0x6c743130 to=0xffffffff, transport = 1, WantAck=0, HopLim=1 Ch=0x0 Portnum=67 rxtime=1785864312 rxSNR=8.5 rxRSSI=-3
INFO  | 17:25:12 76223 Tell client we have new packets 4326
DEBUG | 17:25:15 76226 [RadioIf] Started Tx (id=0xfb07b593 fr=0x6c743130 to=0xffffffff, transport = 1, WantAck=0, HopLim=0 Ch=0xec encrypted len=50 rxtime=1785864312 rxSNR=8.5 rxRSSI=-32 hopS
DEBUG | 17:25:15 76226 [RadioIf] 0 packets remain in the TX queue
DEBUG | 17:25:15 76226 [RadioIf] Packet TX: 321ms
DEBUG | 17:25:15 76226 [RadioIf] Completed sending (id=0xfb07b593 fr=0x6c743130 to=0xffffffff, transport = 1, WantAck=0, HopLim=0 Ch=0xec encrypted len=50 rxtime=1785864312 rxSNR=8.5 rxRSSI=-
INFO  | 17:25:19 76230 [DeviceTelemetry] Send: air_util_tx=1.281778, channel_utilization=1.070000, battery_level=101, voltage=-0.001000, uptime=76230
DEBUG | 17:25:19 76230 [DeviceTelemetry] Partially randomized packet id 683943208
DEBUG | 17:25:19 76230 [DeviceTelemetry] updateTelemetry LOCAL
DEBUG | 17:25:19 76230 [DeviceTelemetry] Node status update: 2 online, 3 total
INFO  | 17:25:19 76230 [DeviceTelemetry] Send packet to mesh
DEBUG | 17:25:19 76230 [DeviceTelemetry] Ignore update from self
DEBUG | 17:25:19 76230 [DeviceTelemetry] handleReceived(LOCAL) (id=0x28c42528 fr=0xbb8106c4 to=0xffffffff, transport = 0, WantAck=0, HopLim=1 Ch=0x0 Portnum=67 rxtime=1785864319 priority=10)
DEBUG | 17:25:19 76230 [DeviceTelemetry] No modules interested in portnum=67, src=LOCAL
INFO  | 17:25:19 76230 [DeviceTelemetry] Packet History - insert: Reusing slot aged 4352.627s TRACE OLDEST SLOT
DEBUG | 17:25:19 76230 [DeviceTelemetry] Use AES256 key!
DEBUG | 17:25:19 76230 [DeviceTelemetry] enqueue for send (id=0x28c42528 fr=0xbb8106c4 to=0xffffffff, transport = 0, WantAck=0, HopLim=1 Ch=0xec encrypted len=50 rxtime=1785864319 hopStart=1 relay=0x
DEBUG | 17:25:19 76230 [DeviceTelemetry] txGood=2745,txRelay=1334,rxGood=2691,rxBad=21
DEBUG | 17:25:19 76230 [DeviceTelemetry] Use channel 0 (hash 0xec)
DEBUG | 17:25:19 76230 [DeviceTelemetry] Use AES256 key!
DEBUG | 17:25:19 76230 [DeviceTelemetry] decoded message (id=0x28c42528 fr=0xbb8106c4 to=0xffffffff, transport = 0, WantAck=0, HopLim=1 Ch=0x0 Portnum=67 rxtime=1785864319 hopStart=1 relay=0xc4 prior
DEBUG | 17:25:19 76231 [DeviceTelemetry] TransmitHistory: saved 2 entries to disk
INFO  | 17:25:19 76231 Tell client we have new packets 4328
DEBUG | 17:25:20 76231 [Serial] FromRadio=STATE_SEND_PACKETS
DEBUG | 17:25:20 76231 [Serial] FromRadio=STATE_SEND_PACKETS
DEBUG | 17:25:20 76231 [Serial] phone downloaded packet (id=0x28c42528 fr=0xbb8106c4 to=0xffffffff, transport = 0, WantAck=0, HopLim=1 Ch=0x0 Portnum=67 rxtime=1785864319 hopStart=1 relay=0x
DEBUG | 17:25:20 76231 [RadioIf] Started Tx (id=0x28c42528 fr=0xbb8106c4 to=0xffffffff, transport = 0, WantAck=0, HopLim=1 Ch=0xec encrypted len=50 rxtime=1785864319 hopStart=1 relay=0xc4 pri
DEBUG | 17:25:20 76231 [RadioIf] 0 packets remain in the TX queue
DEBUG | 17:25:20 76231 [RadioIf] Packet TX: 321ms
DEBUG | 17:25:20 76231 [RadioIf] Completed sending (id=0x28c42528 fr=0xbb8106c4 to=0xffffffff, transport = 0, WantAck=0, HopLim=1 Ch=0xec encrypted len=50 rxtime=1785864319 hopStart=1 relay=0
DEBUG | 17:25:23 76234 [RadioIf] Corrected frequency offset: -1268.776978
